2025-06-16 15:19:42,070 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-16 15:19:42,070 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250616_151942.log
2025-06-16 15:19:42,071 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-16 15:19:42,071 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-16 15:19:42,072 - sparsemodesnet.heat_equation - INFO - POD dimension: 20
2025-06-16 15:19:42,072 - sparsemodesnet.heat_equation - INFO - Hidden units: [20, 210, 400]
2025-06-16 15:19:42,072 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-16 15:19:42,072 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-16 15:19:42,073 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1.0, lr=0.001, batch_size=64
2025-06-16 15:19:42,073 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 15:19:42,074 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=20 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 20)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.207354e-03 | ‖ω‖₁=1.981175e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.635465e-04 | ‖ω‖₁=1.736621e+01
  λ=1.000e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=1.769051e-04 | ‖ω‖₁=1.479003e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.815533e-04 | ‖ω‖₁=1.213920e+01
  λ=1.000e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=2.058224e-03 | ‖ω‖₁=9.480982e+00
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.175031e-03 | ‖ω‖₁=6.974648e+00
  λ=1.000e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=1.943554e-02 | ‖ω‖₁=5.918258e+00
  λ=1.000e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=4.306891e-02 | ‖ω‖₁=5.183417e+00
  λ=1.000e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=9.375422e-02 | ‖ω‖₁=4.411837e+00
  λ=1.000e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=1.720311e-01 | ‖ω‖₁=3.670977e+00
  λ=1.000e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=2.819661e-01 | ‖ω‖₁=3.014921e+00
  λ=1.000e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=4.346993e-01 | ‖ω‖₁=2.410193e+00
  λ=1.000e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=5.730332e-01 | ‖ω‖₁=2.042320e+00
  → at λ=1.000e-03:  r(λ)=20,  rel_err=1.261382e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 20)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.219327e-02 | ‖ω‖₁=1.979755e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=8.940994e-04 | ‖ω‖₁=1.681387e+01
  λ=1.200e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=1.044146e-03 | ‖ω‖₁=1.371364e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.460545e-03 | ‖ω‖₁=1.048583e+01
  λ=1.200e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=1.163590e-02 | ‖ω‖₁=7.221922e+00
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.590737e-02 | ‖ω‖₁=5.826000e+00
  λ=1.200e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=6.966471e-02 | ‖ω‖₁=4.884351e+00
  λ=1.200e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=1.347388e-01 | ‖ω‖₁=4.065514e+00
  λ=1.200e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=2.480056e-01 | ‖ω‖₁=3.214255e+00
  λ=1.200e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=4.073708e-01 | ‖ω‖₁=2.462439e+00
  λ=1.200e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=5.673357e-01 | ‖ω‖₁=1.926577e+00
  λ=1.200e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=6.016858e-01 | ‖ω‖₁=1.680997e+00
  λ=1.200e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=6.228535e-01 | ‖ω‖₁=1.476822e+00
  → at λ=1.200e-03:  r(λ)=20,  rel_err=1.264616e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 20)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.421820e-03 | ‖ω‖₁=1.975242e+01
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.178695e-03 | ‖ω‖₁=1.613409e+01
  λ=1.440e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=4.048290e-03 | ‖ω‖₁=1.233954e+01
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.477254e-02 | ‖ω‖₁=8.399235e+00
  λ=1.440e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=3.921596e-02 | ‖ω‖₁=5.825420e+00
  λ=1.440e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=8.189707e-02 | ‖ω‖₁=4.832496e+00
  λ=1.440e-03 | Epoch  60 | lr=2.5000e-04 | Recon MSE=1.827756e-01 | ‖ω‖₁=3.770276e+00
  λ=1.440e-03 | Epoch  70 | lr=2.5000e-04 | Recon MSE=3.239421e-01 | ‖ω‖₁=2.902112e+00
  λ=1.440e-03 | Epoch  80 | lr=1.2500e-04 | Recon MSE=5.425986e-01 | ‖ω‖₁=2.178527e+00
  λ=1.440e-03 | Epoch  90 | lr=1.2500e-04 | Recon MSE=6.195947e-01 | ‖ω‖₁=1.808713e+00
  λ=1.440e-03 | Epoch 100 | lr=6.2500e-05 | Recon MSE=6.505160e-01 | ‖ω‖₁=1.523063e+00
  λ=1.440e-03 | Epoch 110 | lr=6.2500e-05 | Recon MSE=6.806519e-01 | ‖ω‖₁=1.294051e+00
  λ=1.440e-03 | Epoch 120 | lr=3.1250e-05 | Recon MSE=7.022041e-01 | ‖ω‖₁=1.086815e+00
