2025-06-23 18:41:21,177 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Starting heat_equation_pi-net_decoder experiment
2025-06-23 18:41:21,178 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Log file: logs/heat_equation_pi-net_decoder_20250623_184121.log
2025-06-23 18:41:21,179 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Experiment: Heat Equation Pi-Net Decoder
2025-06-23 18:41:21,179 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:41:21,179 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - POD dimension: 30
2025-06-23 18:41:21,180 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Hidden units: [30, 465, 128]
2025-06-23 18:41:21,180 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Mode Selection Method: None
2025-06-23 18:41:21,181 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Device: mps
2025-06-23 18:41:21,181 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=32
2025-06-23 18:41:21,181 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:41:21,182 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-23 18:41:21,182 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 3 selected modes ...
  Epoch   1 | lr=1.0000e-03 | Recon MSE=7.775161e-03
  Epoch  10 | lr=1.0000e-03 | Recon MSE=1.104746e-06
  Epoch  20 | lr=1.0000e-03 | Recon MSE=3.624647e-07
  Epoch  30 | lr=1.0000e-03 | Recon MSE=3.459668e-07
  Epoch  40 | lr=1.0000e-03 | Recon MSE=3.344348e-07
  Epoch  50 | lr=1.0000e-03 | Recon MSE=3.098055e-07
  Epoch  60 | lr=1.0000e-03 | Recon MSE=2.447132e-07
  Epoch  70 | lr=1.0000e-03 | Recon MSE=2.086458e-07
  Epoch  80 | lr=1.0000e-03 | Recon MSE=1.219863e-07
  Epoch  90 | lr=1.0000e-03 | Recon MSE=8.297646e-07
  Epoch 100 | lr=1.0000e-03 | Recon MSE=1.549038e-08
  Epoch 110 | lr=1.0000e-03 | Recon MSE=2.263298e-08
  Epoch 120 | lr=1.0000e-03 | Recon MSE=2.924144e-07
  Epoch 130 | lr=1.0000e-03 | Recon MSE=8.387748e-07
  Epoch 140 | lr=1.0000e-03 | Recon MSE=1.279754e-06
  Epoch 150 | lr=1.0000e-03 | Recon MSE=2.575325e-07
  Epoch 160 | lr=1.0000e-03 | Recon MSE=4.772420e-08
  Epoch 170 | lr=1.0000e-03 | Recon MSE=1.067664e-08
  Epoch 180 | lr=1.0000e-03 | Recon MSE=5.388851e-07
  Epoch 190 | lr=1.0000e-03 | Recon MSE=2.719741e-07
  Epoch 200 | lr=5.0000e-04 | Recon MSE=5.514187e-07
  Epoch 210 | lr=5.0000e-04 | Recon MSE=2.809180e-09
  Epoch 220 | lr=5.0000e-04 | Recon MSE=3.388385e-09
  Epoch 230 | lr=5.0000e-04 | Recon MSE=2.855967e-09
  Epoch 240 | lr=5.0000e-04 | Recon MSE=4.067897e-09
  Epoch 250 | lr=5.0000e-04 | Recon MSE=7.528996e-08
  Epoch 260 | lr=5.0000e-04 | Recon MSE=2.776409e-07
  Epoch 270 | lr=5.0000e-04 | Recon MSE=1.866008e-07
  Epoch 280 | lr=5.0000e-04 | Recon MSE=2.753006e-07
  Epoch 290 | lr=5.0000e-04 | Recon MSE=4.921963e-07
  Epoch 300 | lr=5.0000e-04 | Recon MSE=5.086421e-08
  Epoch 310 | lr=5.0000e-04 | Recon MSE=2.303515e-07
  Epoch 320 | lr=5.0000e-04 | Recon MSE=6.502057e-08
  Epoch 330 | lr=5.0000e-04 | Recon MSE=7.450479e-08
  Epoch 340 | lr=5.0000e-04 | Recon MSE=3.018131e-07
  Epoch 350 | lr=5.0000e-04 | Recon MSE=3.603284e-07
  Epoch 360 | lr=5.0000e-04 | Recon MSE=2.427058e-07
  Epoch 370 | lr=5.0000e-04 | Recon MSE=3.698030e-09
  Epoch 380 | lr=5.0000e-04 | Recon MSE=3.909785e-08
  Epoch 390 | lr=5.0000e-04 | Recon MSE=3.038356e-09
  Epoch 400 | lr=2.5000e-04 | Recon MSE=1.375624e-08
  Epoch 410 | lr=2.5000e-04 | Recon MSE=1.341083e-09
  Epoch 420 | lr=2.5000e-04 | Recon MSE=1.451609e-09
  Epoch 430 | lr=2.5000e-04 | Recon MSE=1.643633e-09
  Epoch 440 | lr=2.5000e-04 | Recon MSE=2.088734e-09
  Epoch 450 | lr=2.5000e-04 | Recon MSE=1.844562e-08
  Epoch 460 | lr=2.5000e-04 | Recon MSE=1.421462e-08
  Epoch 470 | lr=2.5000e-04 | Recon MSE=2.154729e-08
  Epoch 480 | lr=2.5000e-04 | Recon MSE=1.283200e-08
  Epoch 490 | lr=2.5000e-04 | Recon MSE=9.113990e-09
  Epoch 500 | lr=2.5000e-04 | Recon MSE=4.811285e-09
  Epoch 510 | lr=2.5000e-04 | Recon MSE=2.232065e-09
  Epoch 520 | lr=2.5000e-04 | Recon MSE=4.742052e-09
  Epoch 530 | lr=2.5000e-04 | Recon MSE=2.300995e-09
  Epoch 540 | lr=2.5000e-04 | Recon MSE=1.827354e-08
  Epoch 550 | lr=2.5000e-04 | Recon MSE=5.233422e-08
  Epoch 560 | lr=2.5000e-04 | Recon MSE=1.308896e-08
  Epoch 570 | lr=2.5000e-04 | Recon MSE=8.603422e-09
  Epoch 580 | lr=2.5000e-04 | Recon MSE=5.780382e-09
  Epoch 590 | lr=2.5000e-04 | Recon MSE=7.623711e-09
  Epoch 600 | lr=1.2500e-04 | Recon MSE=1.969869e-09
  Epoch 610 | lr=1.2500e-04 | Recon MSE=2.964549e-10
  Epoch 620 | lr=1.2500e-04 | Recon MSE=1.867821e-10
  Epoch 630 | lr=1.2500e-04 | Recon MSE=3.201140e-10
  Epoch 640 | lr=1.2500e-04 | Recon MSE=6.385691e-10
  Epoch 650 | lr=1.2500e-04 | Recon MSE=2.812461e-09
  Epoch 660 | lr=1.2500e-04 | Recon MSE=6.330957e-09
  Epoch 670 | lr=1.2500e-04 | Recon MSE=7.664421e-10
  Epoch 680 | lr=1.2500e-04 | Recon MSE=5.167942e-10
  Epoch 690 | lr=1.2500e-04 | Recon MSE=3.763095e-09
  Epoch 700 | lr=1.2500e-04 | Recon MSE=4.958686e-09
  Epoch 710 | lr=1.2500e-04 | Recon MSE=4.686622e-10
  Epoch 720 | lr=1.2500e-04 | Recon MSE=1.890765e-09
  Epoch 730 | lr=1.2500e-04 | Recon MSE=1.142459e-08
  Epoch 740 | lr=1.2500e-04 | Recon MSE=2.375187e-09
  Epoch 750 | lr=1.2500e-04 | Recon MSE=2.906152e-09
