2025-06-17 13:47:57,263 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 13:47:57,264 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_134757.log
2025-06-17 13:47:57,264 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 13:47:57,265 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 13:47:57,265 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 100
2025-06-17 13:47:57,265 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [100, 5050, 100]
2025-06-17 13:47:57,266 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 13:47:57,266 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 13:47:57,266 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 13:47:57,267 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 13:47:57,267 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 13:47:57,267 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=100 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 100)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.415361e-05 | ‖ω‖₁=9.978865e+01
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.301544e-05 | ‖ω‖₁=9.945084e+01
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.982599e-04 | ‖ω‖₁=9.915285e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.362182e-03 | ‖ω‖₁=9.762441e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.570310e-03 | ‖ω‖₁=9.595247e+01
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.125565e-02 | ‖ω‖₁=9.176396e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.272196e-02 | ‖ω‖₁=8.719507e+01
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.400669e-02 | ‖ω‖₁=8.080359e+01
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.675499e-02 | ‖ω‖₁=7.421312e+01
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=6.354439e-02 | ‖ω‖₁=6.689831e+01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=8.227836e-02 | ‖ω‖₁=5.952395e+01
  → at λ=1.000e-03:  r(λ)=100,  rel_err=5.408733e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 100)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.583863e-04 | ‖ω‖₁=9.971805e+01
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.012736e-03 | ‖ω‖₁=9.880540e+01
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.792979e-03 | ‖ω‖₁=9.741639e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=7.383131e-03 | ‖ω‖₁=9.331962e+01
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.078691e-02 | ‖ω‖₁=8.895475e+01
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.988659e-02 | ‖ω‖₁=8.208386e+01
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.869869e-02 | ‖ω‖₁=7.497497e+01
  λ=1.200e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.739554e-02 | ‖ω‖₁=6.660747e+01
  λ=1.200e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=5.806467e-02 | ‖ω‖₁=5.813668e+01
  λ=1.200e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=6.496209e-02 | ‖ω‖₁=4.911750e+01
  λ=1.200e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=8.700139e-02 | ‖ω‖₁=4.010144e+01
  → at λ=1.200e-03:  r(λ)=100,  rel_err=5.575972e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 100)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.036999e-04 | ‖ω‖₁=9.962774e+01
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.166925e-03 | ‖ω‖₁=9.730141e+01
  λ=1.440e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=8.923396e-03 | ‖ω‖₁=9.387507e+01
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.510223e-02 | ‖ω‖₁=8.690835e+01
  λ=1.440e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.063035e-02 | ‖ω‖₁=7.975310e+01
  λ=1.440e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.570234e-02 | ‖ω‖₁=7.038239e+01
  λ=1.440e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.653188e-02 | ‖ω‖₁=6.089901e+01
  λ=1.440e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.757031e-02 | ‖ω‖₁=5.039031e+01
  λ=1.440e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=6.627426e-02 | ‖ω‖₁=3.984328e+01
  λ=1.440e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=8.711712e-02 | ‖ω‖₁=2.895385e+01
  λ=1.440e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.166668e-01 | ‖ω‖₁=1.933339e+01
  → at λ=1.440e-03:  r(λ)=100,  rel_err=6.397715e-02

-- Path iteration 4, λ = 1.728e-03   (r(λ) prev = 100)
  λ=1.728e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.527322e-04 | ‖ω‖₁=9.948091e+01
  λ=1.728e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.620700e-02 | ‖ω‖₁=9.515325e+01
  λ=1.728e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.254845e-02 | ‖ω‖₁=8.948429e+01
  λ=1.728e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.954985e-02 | ‖ω‖₁=7.984911e+01
  λ=1.728e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.672963e-02 | ‖ω‖₁=6.983397e+01
  λ=1.728e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=4.097309e-02 | ‖ω‖₁=5.783276e+01
  λ=1.728e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=7.889184e-02 | ‖ω‖₁=4.574971e+01
  λ=1.728e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=7.286133e-02 | ‖ω‖₁=3.285984e+01
  λ=1.728e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.249094e-01 | ‖ω‖₁=2.062041e+01
  λ=1.728e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.260436e-01 | ‖ω‖₁=1.193660e+01
  λ=1.728e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.560747e-01 | ‖ω‖₁=6.173831e+00
  → at λ=1.728e-03:  r(λ)=100,  rel_err=7.472339e-02

-- Path iteration 5, λ = 2.074e-03   (r(λ) prev = 100)
  λ=2.074e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=9.843908e-04 | ‖ω‖₁=9.934814e+01
  λ=2.074e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.175839e-02 | ‖ω‖₁=9.260331e+01
  λ=2.074e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=5.948219e-02 | ‖ω‖₁=8.412115e+01
  λ=2.074e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.195874e-02 | ‖ω‖₁=7.131165e+01
  λ=2.074e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=8.778485e-02 | ‖ω‖₁=5.811502e+01
  λ=2.074e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=7.939914e-02 | ‖ω‖₁=4.315748e+01
  λ=2.074e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.305608e-01 | ‖ω‖₁=2.826823e+01
  λ=2.074e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.434016e-01 | ‖ω‖₁=1.497981e+01
  λ=2.074e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.615066e-01 | ‖ω‖₁=7.309000e+00
  λ=2.074e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.800311e-01 | ‖ω‖₁=4.606340e+00
  λ=2.074e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.681691e-01 | ‖ω‖₁=4.304949e+00
  → at λ=2.074e-03:  r(λ)=100,  rel_err=7.698086e-02

-- Path iteration 6, λ = 2.488e-03   (r(λ) prev = 100)
  λ=2.488e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.550215e-03 | ‖ω‖₁=9.917755e+01
  λ=2.488e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.007340e-01 | ‖ω‖₁=8.965096e+01
  λ=2.488e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=9.215462e-02 | ‖ω‖₁=7.779390e+01
  λ=2.488e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.204590e-01 | ‖ω‖₁=6.133334e+01
  λ=2.488e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.399933e-01 | ‖ω‖₁=4.454758e+01
  λ=2.488e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.593293e-01 | ‖ω‖₁=2.629485e+01
  λ=2.488e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.425663e-01 | ‖ω‖₁=1.171130e+01
  λ=2.488e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.526959e-01 | ‖ω‖₁=4.817342e+00
  λ=2.488e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.212063e-01 | ‖ω‖₁=4.340890e+00
  λ=2.488e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.092199e-01 | ‖ω‖₁=4.080061e+00
  λ=2.488e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.998561e-01 | ‖ω‖₁=3.873736e+00
  → at λ=2.488e-03:  r(λ)=100,  rel_err=8.400232e-02

-- Path iteration 7, λ = 2.986e-03   (r(λ) prev = 100)
  λ=2.986e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.605654e-03 | ‖ω‖₁=9.893897e+01
  λ=2.986e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.311018e-01 | ‖ω‖₁=8.634007e+01
  λ=2.986e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.453467e-01 | ‖ω‖₁=7.212615e+01
  λ=2.986e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.567194e-01 | ‖ω‖₁=5.224318e+01
  λ=2.986e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.598700e-01 | ‖ω‖₁=3.133139e+01
  λ=2.986e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.669504e-01 | ‖ω‖₁=1.172383e+01
  λ=2.986e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.540729e-01 | ‖ω‖₁=4.731210e+00
  λ=2.986e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.783291e-01 | ‖ω‖₁=4.250432e+00
  λ=2.986e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.218605e-01 | ‖ω‖₁=3.951900e+00
  λ=2.986e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.947923e-01 | ‖ω‖₁=3.714510e+00
  λ=2.986e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.709834e-01 | ‖ω‖₁=3.513779e+00
  → at λ=2.986e-03:  r(λ)=100,  rel_err=1.144289e-01

-- Path iteration 8, λ = 3.583e-03   (r(λ) prev = 100)
  λ=3.583e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.854436e-03 | ‖ω‖₁=9.869185e+01
  λ=3.583e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.052264e-01 | ‖ω‖₁=8.146853e+01
  λ=3.583e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.681042e-01 | ‖ω‖₁=6.079572e+01
  λ=3.583e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.963741e-01 | ‖ω‖₁=3.531334e+01
  λ=3.583e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=6.750548e-01 | ‖ω‖₁=1.160894e+01
  λ=3.583e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=4.737361e-01 | ‖ω‖₁=4.538152e+00
  λ=3.583e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.912929e-01 | ‖ω‖₁=4.094860e+00
  λ=3.583e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.564450e-01 | ‖ω‖₁=3.798506e+00
