2025-06-17 17:44:47,973 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 17:44:47,973 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_174447.log
2025-06-17 17:44:47,973 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 17:44:47,974 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 17:44:47,974 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 17:44:47,975 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [200, 5000, 200]
2025-06-17 17:44:47,975 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 17:44:47,975 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 17:44:47,975 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 17:44:47,976 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 17:44:47,976 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 17:44:47,976 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 200)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.179777e-05 | ‖ω‖₁=1.993611e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.406173e-04 | ‖ω‖₁=1.919110e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.918296e-04 | ‖ω‖₁=1.838569e+02
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.320024e-03 | ‖ω‖₁=1.743575e+02
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.080439e-03 | ‖ω‖₁=1.645212e+02
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.265807e-02 | ‖ω‖₁=1.520542e+02
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=8.767357e-03 | ‖ω‖₁=1.391817e+02
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.058444e-02 | ‖ω‖₁=1.246164e+02
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.821074e-02 | ‖ω‖₁=1.098837e+02
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.874959e-02 | ‖ω‖₁=9.449067e+01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=2.350484e-02 | ‖ω‖₁=7.903072e+01
  → at λ=1.000e-03:  r(λ)=200,  rel_err=2.892598e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 200)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.678895e-04 | ‖ω‖₁=1.992030e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.164981e-03 | ‖ω‖₁=1.895509e+02
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.131026e-03 | ‖ω‖₁=1.782967e+02
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=6.337209e-03 | ‖ω‖₁=1.643885e+02
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=9.286452e-03 | ‖ω‖₁=1.504667e+02
