2025-06-17 18:04:13,767 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 18:04:13,767 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_180413.log
2025-06-17 18:04:13,767 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 18:04:13,768 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 18:04:13,768 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 18:04:13,768 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [200, 5000, 200]
2025-06-17 18:04:13,769 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 18:04:13,769 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 18:04:13,769 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=256
2025-06-17 18:04:13,769 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 18:04:13,770 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 4, and 1 number of polynomial blocks
2025-06-17 18:04:13,770 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 200)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.270279e-04 | ‖ω‖₁=1.995734e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=8.614589e-05 | ‖ω‖₁=1.954810e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.665632e-04 | ‖ω‖₁=1.909695e+02
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.934757e-04 | ‖ω‖₁=1.853560e+02
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=8.591284e-04 | ‖ω‖₁=1.797864e+02
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=8.277952e-04 | ‖ω‖₁=1.731037e+02
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.268057e-03 | ‖ω‖₁=1.663644e+02
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.609214e-03 | ‖ω‖₁=1.589974e+02
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.156114e-03 | ‖ω‖₁=1.515860e+02
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.592204e-03 | ‖ω‖₁=1.438837e+02
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.078582e-03 | ‖ω‖₁=1.361598e+02
  → at λ=1.000e-03:  r(λ)=200,  rel_err=1.043693e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 200)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.223388e-04 | ‖ω‖₁=1.995016e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.743489e-04 | ‖ω‖₁=1.941545e+02
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.619151e-04 | ‖ω‖₁=1.880685e+02
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.371578e-04 | ‖ω‖₁=1.805100e+02
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.360021e-03 | ‖ω‖₁=1.730580e+02
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.019342e-03 | ‖ω‖₁=1.645968e+02
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.462800e-03 | ‖ω‖₁=1.560904e+02
  λ=1.200e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.991723e-03 | ‖ω‖₁=1.470461e+02
  λ=1.200e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.984739e-03 | ‖ω‖₁=1.379693e+02
  λ=1.200e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.907694e-03 | ‖ω‖₁=1.286422e+02
  λ=1.200e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.371401e-03 | ‖ω‖₁=1.193001e+02
  → at λ=1.200e-03:  r(λ)=200,  rel_err=1.094437e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 200)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.387216e-04 | ‖ω‖₁=1.993869e+02
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=7.655506e-04 | ‖ω‖₁=1.923721e+02
  λ=1.440e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=9.775254e-04 | ‖ω‖₁=1.844280e+02
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.411445e-04 | ‖ω‖₁=1.748086e+02
