2025-06-17 18:14:35,881 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 18:14:35,882 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_181435.log
2025-06-17 18:14:35,882 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 18:14:35,882 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 18:14:35,883 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 18:14:35,883 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [1000, 2000, 1000]
2025-06-17 18:14:35,883 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 18:14:35,883 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 18:14:35,884 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=64
2025-06-17 18:14:35,884 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 18:14:35,884 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 18:14:35,884 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-02   (r(λ) prev = 200)
  λ=1.000e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.633574e-01 | ‖ω‖₁=1.839626e+02
  λ=1.000e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.149850e+00 | ‖ω‖₁=7.115583e+00
  λ=1.000e-02 | Epoch  20 | lr=1.0000e-03 | Recon MSE=2.883007e-01 | ‖ω‖₁=6.339378e+00
  λ=1.000e-02 | Epoch  30 | lr=1.0000e-03 | Recon MSE=2.611810e-01 | ‖ω‖₁=6.035647e+00
  λ=1.000e-02 | Epoch  40 | lr=5.0000e-04 | Recon MSE=1.020241e-01 | ‖ω‖₁=5.668287e+00
  λ=1.000e-02 | Epoch  50 | lr=5.0000e-04 | Recon MSE=2.331169e-02 | ‖ω‖₁=5.219388e+00
  λ=1.000e-02 | Epoch  60 | lr=5.0000e-04 | Recon MSE=1.979467e-02 | ‖ω‖₁=4.911733e+00
  λ=1.000e-02 | Epoch  70 | lr=5.0000e-04 | Recon MSE=1.906501e-02 | ‖ω‖₁=4.652765e+00
  λ=1.000e-02 | Epoch  80 | lr=2.5000e-04 | Recon MSE=1.739835e-02 | ‖ω‖₁=4.423592e+00
  λ=1.000e-02 | Epoch  90 | lr=2.5000e-04 | Recon MSE=1.486050e-02 | ‖ω‖₁=4.214817e+00
  λ=1.000e-02 | Epoch 100 | lr=2.5000e-04 | Recon MSE=1.413584e-02 | ‖ω‖₁=4.021643e+00
  λ=1.000e-02 | Epoch 110 | lr=2.5000e-04 | Recon MSE=1.254002e-02 | ‖ω‖₁=3.841758e+00
  λ=1.000e-02 | Epoch 120 | lr=1.2500e-04 | Recon MSE=1.216488e-02 | ‖ω‖₁=3.671935e+00
  λ=1.000e-02 | Epoch 130 | lr=1.2500e-04 | Recon MSE=1.154010e-02 | ‖ω‖₁=3.510308e+00
  λ=1.000e-02 | Epoch 140 | lr=1.2500e-04 | Recon MSE=1.131277e-02 | ‖ω‖₁=3.356588e+00
  λ=1.000e-02 | Epoch 150 | lr=1.2500e-04 | Recon MSE=1.090968e-02 | ‖ω‖₁=3.210056e+00
  λ=1.000e-02 | Epoch 160 | lr=6.2500e-05 | Recon MSE=1.020211e-02 | ‖ω‖₁=3.070468e+00
  λ=1.000e-02 | Epoch 170 | lr=6.2500e-05 | Recon MSE=9.560444e-03 | ‖ω‖₁=2.934743e+00
  λ=1.000e-02 | Epoch 180 | lr=6.2500e-05 | Recon MSE=9.255156e-03 | ‖ω‖₁=2.804074e+00
  λ=1.000e-02 | Epoch 190 | lr=6.2500e-05 | Recon MSE=8.945174e-03 | ‖ω‖₁=2.677799e+00
  λ=1.000e-02 | Epoch 200 | lr=3.1250e-05 | Recon MSE=8.653902e-03 | ‖ω‖₁=2.555720e+00
  → at λ=1.000e-02:  r(λ)=200,  rel_err=1.729671e-02

-- Path iteration 2, λ = 1.200e-02   (r(λ) prev = 200)
  λ=1.200e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.432277e-01 | ‖ω‖₁=1.806678e+02
  λ=1.200e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.344158e+00 | ‖ω‖₁=6.807068e+00
  λ=1.200e-02 | Epoch  20 | lr=1.0000e-03 | Recon MSE=7.644015e-01 | ‖ω‖₁=6.275561e+00
  λ=1.200e-02 | Epoch  30 | lr=1.0000e-03 | Recon MSE=1.798943e-01 | ‖ω‖₁=5.710736e+00
