2025-06-24 17:17:59,009 - sparsemodesnet.pulse_ff_decoder - INFO - Starting pulse_ff_decoder experiment
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Log file: logs/pulse_ff_decoder_20250624_171759.log
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Experiment: Pulse FF Decoder
2025-06-24 17:17:59,010 - sparsemodesnet.pulse_ff_decoder - INFO - Data shape: (1024, 1000)
2025-06-24 17:17:59,011 - sparsemodesnet.pulse_ff_decoder - INFO - POD dimension: 200
2025-06-24 17:17:59,011 - sparsemodesnet.pulse_ff_decoder - INFO - Hidden units: [200, 20100]
2025-06-24 17:17:59,012 - sparsemodesnet.pulse_ff_decoder - INFO - Mode Selection Method: None
2025-06-24 17:17:59,012 - sparsemodesnet.pulse_ff_decoder - INFO - Device: mps
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=128
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - NN type: Feedforward
2025-06-24 17:17:59,013 - sparsemodesnet.pulse_ff_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 20 selected modes ...
  Epoch 690 | lr=5.0000e-04 | Recon MSE=1.528992e-01
  Epoch 700 | lr=5.0000e-04 | Recon MSE=2.256862e-01
  Epoch 710 | lr=5.0000e-04 | Recon MSE=3.792594e-01
  Epoch 720 | lr=5.0000e-04 | Recon MSE=3.137537e-01
  Epoch 730 | lr=5.0000e-04 | Recon MSE=4.429321e-01
  Epoch 740 | lr=5.0000e-04 | Recon MSE=2.341914e-01
  Epoch 750 | lr=5.0000e-04 | Recon MSE=2.967752e-01
  Epoch 760 | lr=5.0000e-04 | Recon MSE=1.839297e-01
  Epoch 770 | lr=5.0000e-04 | Recon MSE=2.606002e-01
  Epoch 780 | lr=5.0000e-04 | Recon MSE=3.304280e-01
  Epoch 790 | lr=5.0000e-04 | Recon MSE=3.599540e-01
  Epoch 800 | lr=2.5000e-04 | Recon MSE=3.236967e-01
  Epoch 810 | lr=2.5000e-04 | Recon MSE=3.778637e-02
  Epoch 820 | lr=2.5000e-04 | Recon MSE=3.702954e-02
  Epoch 830 | lr=2.5000e-04 | Recon MSE=3.535252e-02
  Epoch 840 | lr=2.5000e-04 | Recon MSE=3.766000e-02
  Epoch 850 | lr=2.5000e-04 | Recon MSE=3.632723e-02
  Epoch 860 | lr=2.5000e-04 | Recon MSE=3.549827e-02
  Epoch 870 | lr=2.5000e-04 | Recon MSE=3.541656e-02
  Epoch 880 | lr=2.5000e-04 | Recon MSE=3.628397e-02
  Epoch 890 | lr=2.5000e-04 | Recon MSE=3.720030e-02
  Epoch 900 | lr=2.5000e-04 | Recon MSE=3.966795e-02
  Epoch 910 | lr=2.5000e-04 | Recon MSE=3.964733e-02
  Epoch 920 | lr=2.5000e-04 | Recon MSE=3.933687e-02
  Epoch 930 | lr=2.5000e-04 | Recon MSE=4.497538e-02
  Epoch 940 | lr=2.5000e-04 | Recon MSE=4.384791e-02
  Epoch 950 | lr=2.5000e-04 | Recon MSE=4.706694e-02
  Epoch 960 | lr=2.5000e-04 | Recon MSE=4.560783e-02
  Epoch 970 | lr=2.5000e-04 | Recon MSE=5.463357e-02
  Epoch 980 | lr=2.5000e-04 | Recon MSE=5.458475e-02
  Epoch 990 | lr=2.5000e-04 | Recon MSE=5.932305e-02
  Epoch 1000 | lr=2.5000e-04 | Recon MSE=6.598544e-02
  Epoch 1010 | lr=2.5000e-04 | Recon MSE=8.229620e-02
  Epoch 1020 | lr=2.5000e-04 | Recon MSE=1.304652e-01
  Epoch 1030 | lr=2.5000e-04 | Recon MSE=8.303537e-02
  Epoch 1040 | lr=2.5000e-04 | Recon MSE=8.631796e-02
  Epoch 1050 | lr=2.5000e-04 | Recon MSE=7.769969e-02
  Epoch 1060 | lr=2.5000e-04 | Recon MSE=1.045334e-01
  Epoch 1070 | lr=2.5000e-04 | Recon MSE=9.944266e-02
  Epoch 1080 | lr=2.5000e-04 | Recon MSE=8.611185e-02
  Epoch 1090 | lr=2.5000e-04 | Recon MSE=9.650119e-02
  Epoch 1100 | lr=2.5000e-04 | Recon MSE=8.287817e-02
  Epoch 1110 | lr=2.5000e-04 | Recon MSE=9.145688e-02
  Epoch 1120 | lr=2.5000e-04 | Recon MSE=7.348482e-02
  Epoch 1130 | lr=2.5000e-04 | Recon MSE=1.032267e-01
  Epoch 1140 | lr=2.5000e-04 | Recon MSE=8.544037e-02
  Epoch 1150 | lr=2.5000e-04 | Recon MSE=9.907045e-02
  Epoch 1160 | lr=2.5000e-04 | Recon MSE=9.355878e-02
  Epoch 1170 | lr=2.5000e-04 | Recon MSE=8.604918e-02
  Epoch 1180 | lr=2.5000e-04 | Recon MSE=9.959255e-02
  Epoch 1190 | lr=2.5000e-04 | Recon MSE=1.050955e-01
  Epoch 1200 | lr=1.2500e-04 | Recon MSE=1.082822e-01
  Epoch 1210 | lr=1.2500e-04 | Recon MSE=2.255065e-02
  Epoch 1220 | lr=1.2500e-04 | Recon MSE=2.265322e-02
  Epoch 1230 | lr=1.2500e-04 | Recon MSE=2.315077e-02
  Epoch 1240 | lr=1.2500e-04 | Recon MSE=2.223729e-02
