2025-06-16 13:45:08,451 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-16 13:45:08,451 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250616_134508.log
2025-06-16 13:45:08,452 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-16 13:45:08,452 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-16 13:45:08,453 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-16 13:45:08,453 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256]
2025-06-16 13:45:08,454 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-16 13:45:08,454 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-16 13:45:08,454 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1.0, lr=0.001, batch_size=64
2025-06-16 13:45:08,455 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 13:45:08,455 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 128)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.202098e-01 | ‖ω‖₁=1.269422e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=4.423538e-05 | ‖ω‖₁=1.084957e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.992860e-05 | ‖ω‖₁=8.804221e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.884143e-05 | ‖ω‖₁=6.760222e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=7.070296e-05 | ‖ω‖₁=4.717241e+01
  λ=1.000e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.042952e-04 | ‖ω‖₁=2.675913e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.282081e-04 | ‖ω‖₁=1.148449e+01
  λ=1.000e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.114359e-04 | ‖ω‖₁=9.865113e+00
  λ=1.000e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.017222e-04 | ‖ω‖₁=9.007519e+00
  → at λ=1.000e-03:  r(λ)=128,  rel_err=9.661871e-03

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 128)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.268815e-01 | ‖ω‖₁=1.267259e+02
