2025-06-23 17:41:25,581 - sparsemodesnet.heat_equation_ff_decoder - INFO - Starting heat_equation_ff_decoder experiment
2025-06-23 17:41:25,581 - sparsemodesnet.heat_equation_ff_decoder - INFO - Log file: logs/heat_equation_ff_decoder_20250623_174125.log
2025-06-23 17:41:25,583 - sparsemodesnet.heat_equation_ff_decoder - INFO - Experiment: Heat Equation FF Decoder
2025-06-23 17:41:25,583 - sparsemodesnet.heat_equation_ff_decoder - INFO - Data shape: (128, 1000)
2025-06-23 17:41:25,584 - sparsemodesnet.heat_equation_ff_decoder - INFO - POD dimension: 30
2025-06-23 17:41:25,584 - sparsemodesnet.heat_equation_ff_decoder - INFO - Hidden units: [30, 465]
2025-06-23 17:41:25,585 - sparsemodesnet.heat_equation_ff_decoder - INFO - Mode Selection Method: None
2025-06-23 17:41:25,585 - sparsemodesnet.heat_equation_ff_decoder - INFO - Device: mps
2025-06-23 17:41:25,586 - sparsemodesnet.heat_equation_ff_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=16
2025-06-23 17:41:25,586 - sparsemodesnet.heat_equation_ff_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 17:41:25,587 - sparsemodesnet.heat_equation_ff_decoder - INFO - NN type: Feedforward
2025-06-23 17:41:25,587 - sparsemodesnet.heat_equation_ff_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 3 selected modes ...
  Epoch   1 | lr=1.0000e-03 | Recon MSE=2.721031e-02
  Epoch  10 | lr=1.0000e-03 | Recon MSE=8.544399e-05
  Epoch  20 | lr=1.0000e-03 | Recon MSE=2.098371e-05
  Epoch  30 | lr=1.0000e-03 | Recon MSE=7.487219e-06
  Epoch  40 | lr=1.0000e-03 | Recon MSE=3.343303e-06
  Epoch  50 | lr=1.0000e-03 | Recon MSE=1.953548e-06
  Epoch  60 | lr=1.0000e-03 | Recon MSE=1.576319e-06
  Epoch  70 | lr=1.0000e-03 | Recon MSE=2.484557e-06
  Epoch  80 | lr=1.0000e-03 | Recon MSE=3.763442e-06
  Epoch  90 | lr=1.0000e-03 | Recon MSE=3.869945e-06
  Epoch 100 | lr=1.0000e-03 | Recon MSE=5.838981e-06
  Epoch 110 | lr=1.0000e-03 | Recon MSE=5.448298e-06
  Epoch 120 | lr=1.0000e-03 | Recon MSE=3.600444e-06
  Epoch 130 | lr=1.0000e-03 | Recon MSE=3.773540e-06
  Epoch 140 | lr=1.0000e-03 | Recon MSE=3.024064e-06
  Epoch 150 | lr=1.0000e-03 | Recon MSE=1.829383e-06
  Epoch 160 | lr=1.0000e-03 | Recon MSE=1.449929e-06
  Epoch 170 | lr=1.0000e-03 | Recon MSE=1.217276e-06
  Epoch 180 | lr=1.0000e-03 | Recon MSE=1.018181e-06
  Epoch 190 | lr=1.0000e-03 | Recon MSE=6.110717e-07
  Epoch 200 | lr=1.0000e-03 | Recon MSE=8.359158e-07
  Epoch 210 | lr=1.0000e-03 | Recon MSE=3.695584e-07
  Epoch 220 | lr=1.0000e-03 | Recon MSE=3.185882e-07
  Epoch 230 | lr=1.0000e-03 | Recon MSE=2.857366e-07
  Epoch 240 | lr=1.0000e-03 | Recon MSE=1.971117e-05
  Epoch 250 | lr=1.0000e-03 | Recon MSE=1.254233e-06
  Epoch 260 | lr=1.0000e-03 | Recon MSE=1.528801e-06
  Epoch 270 | lr=1.0000e-03 | Recon MSE=7.810068e-07
  Epoch 280 | lr=1.0000e-03 | Recon MSE=6.985060e-07
  Epoch 290 | lr=1.0000e-03 | Recon MSE=7.643785e-07
  Epoch 300 | lr=1.0000e-03 | Recon MSE=6.936902e-07
  Epoch 310 | lr=1.0000e-03 | Recon MSE=4.088277e-07
  Epoch 320 | lr=1.0000e-03 | Recon MSE=2.419589e-07
  Epoch 330 | lr=1.0000e-03 | Recon MSE=1.364960e-07
  Epoch 340 | lr=1.0000e-03 | Recon MSE=2.172949e-07
  Epoch 350 | lr=1.0000e-03 | Recon MSE=1.738443e-07
  Epoch 360 | lr=1.0000e-03 | Recon MSE=1.600941e-07
  Epoch 370 | lr=1.0000e-03 | Recon MSE=1.384894e-07
