Starting heat_equation experiment
Log file: logs/heat_equation_20250615_122424.log
Experiment: Heat Equation
Data shape: (128, 1000)
POD dimension: 128
Hidden units: [128, 8256]
Regularization method: dense2sparse
Device: mps
Training parameters: M=10.0, lr=0.001, batch_size=64
Optimizer: Adam, knee_method: zmethod
==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-04   (r(λ) prev = 128)
  λ=2.074e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.068228e-05 | ‖ω‖₁=1.190665e+00
  λ=2.074e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.676700e-06 | ‖ω‖₁=1.221941e+00
  λ=2.074e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.388204e-06 | ‖ω‖₁=1.187803e+00
  λ=2.074e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.255033e-06 | ‖ω‖₁=1.154720e+00
  λ=2.074e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=4.192480e-06 | ‖ω‖₁=1.138153e+00
  λ=2.074e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.322581e-06 | ‖ω‖₁=1.122844e+00
  λ=2.074e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.609346e-06 | ‖ω‖₁=1.105078e+00
  λ=2.074e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=5.027154e-06 | ‖ω‖₁=1.088294e+00
  λ=2.074e-04 | Epoch  80 | Recon MSE=5.027154e-06 | ‖ω‖₁=1.088294e+00
  → at λ=2.074e-04:  r(λ)=127, rel_err=3.305162e-03

-- Path iteration 6, λ = 2.488e-04   (r(λ) prev = 127)
  λ=2.488e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.919401e-02 | ‖ω‖₁=1.113848e+00
  λ=2.488e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.873110e-05 | ‖ω‖₁=1.118269e+00
  λ=2.488e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=8.856314e-06 | ‖ω‖₁=1.130673e+00
  λ=2.488e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.415803e-06 | ‖ω‖₁=1.118109e+00
  λ=2.488e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.078068e-06 | ‖ω‖₁=1.097128e+00
  λ=2.488e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.076366e-06 | ‖ω‖₁=1.080714e+00
  λ=2.488e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.802668e-06 | ‖ω‖₁=1.073594e+00
  λ=2.488e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.500477e-06 | ‖ω‖₁=1.067950e+00
  λ=2.488e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.605076e-06 | ‖ω‖₁=1.062453e+00
  λ=2.488e-04 | Epoch  80 | Recon MSE=4.605076e-06 | ‖ω‖₁=1.062453e+00
  → at λ=2.488e-04:  r(λ)=127, rel_err=1.858391e-03

-- Path iteration 7, λ = 2.986e-04   (r(λ) prev = 127)
  λ=2.986e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.099929e-02 | ‖ω‖₁=1.117542e+00
  λ=2.986e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.617184e-05 | ‖ω‖₁=1.129640e+00
  λ=2.986e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=5.811009e-06 | ‖ω‖₁=1.139977e+00
  λ=2.986e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.801699e-06 | ‖ω‖₁=1.118146e+00
  λ=2.986e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.344310e-06 | ‖ω‖₁=1.097931e+00
  λ=2.986e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=4.321533e-06 | ‖ω‖₁=1.084824e+00
  λ=2.986e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.398211e-06 | ‖ω‖₁=1.078503e+00
  λ=2.986e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.177805e-06 | ‖ω‖₁=1.072370e+00
  λ=2.986e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=3.997509e-06 | ‖ω‖₁=1.066420e+00
  λ=2.986e-04 | Epoch  80 | Recon MSE=3.997509e-06 | ‖ω‖₁=1.066420e+00
  → at λ=2.986e-04:  r(λ)=127, rel_err=1.483823e-03

-- Path iteration 8, λ = 3.583e-04   (r(λ) prev = 127)
  λ=3.583e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.967350e-02 | ‖ω‖₁=1.114420e+00
  λ=3.583e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.881477e-05 | ‖ω‖₁=1.104881e+00
  λ=3.583e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.313533e-05 | ‖ω‖₁=1.087526e+00
  λ=3.583e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.937483e-06 | ‖ω‖₁=1.087386e+00
  λ=3.583e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=6.726002e-06 | ‖ω‖₁=1.081048e+00
  λ=3.583e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.522815e-06 | ‖ω‖₁=1.073127e+00
  λ=3.583e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.197689e-06 | ‖ω‖₁=1.065382e+00
