2025-06-16 14:34:16,820 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-16 14:34:16,820 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250616_143416.log
2025-06-16 14:34:16,821 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-16 14:34:16,821 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-16 14:34:16,821 - sparsemodesnet.heat_equation - INFO - POD dimension: 20
2025-06-16 14:34:16,822 - sparsemodesnet.heat_equation - INFO - Hidden units: [20, 210, 400]
2025-06-16 14:34:16,822 - sparsemodesnet.heat_equation - INFO - Regularization method: cv
2025-06-16 14:34:16,822 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-16 14:34:16,823 - sparsemodesnet.heat_equation - INFO - Training parameters: M=1.0, lr=0.001, batch_size=64
2025-06-16 14:34:16,823 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-16 14:34:16,823 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=cv) on Heat Equation: d=128, n=1000, s=20 ===

=== Cross-Validation λ-Path ===
 CV testing λ = 7.943e-03. Currently 1/12 ...
  λ=7.943e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.042269e-02 | ‖ω‖₁=1.891793e+01
  λ=7.943e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.733622e-04 | ‖ω‖₁=3.347179e+00
  λ=7.943e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.510996e-04 | ‖ω‖₁=1.443107e+00
  λ=7.943e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.291840e-04 | ‖ω‖₁=4.053629e-01
  λ=7.943e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.755728e-04 | ‖ω‖₁=7.280585e-02
  λ=7.943e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=8.367769e-04 | ‖ω‖₁=1.988367e-02
  λ=7.943e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.361409e-03 | ‖ω‖₁=4.674334e-03
  λ=7.943e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.362198e-01 | ‖ω‖₁=0.000000e+00
  λ=7.943e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.326924e-01 | ‖ω‖₁=0.000000e+00
  λ=7.943e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.003959e-02 | ‖ω‖₁=1.891476e+01
  λ=7.943e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.569499e-04 | ‖ω‖₁=3.331768e+00
  λ=7.943e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=4.606404e-04 | ‖ω‖₁=1.342374e+00
  λ=7.943e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.319107e-04 | ‖ω‖₁=3.338209e-01
  λ=7.943e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.695858e-04 | ‖ω‖₁=3.987766e-02
  λ=7.943e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.225998e-03 | ‖ω‖₁=1.049679e-02
  λ=7.943e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.420221e-03 | ‖ω‖₁=1.934339e-03
  λ=7.943e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.300353e-01 | ‖ω‖₁=0.000000e+00
  λ=7.943e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.268011e-01 | ‖ω‖₁=0.000000e+00
  λ=7.943e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.342681e-02 | ‖ω‖₁=1.890764e+01
  λ=7.943e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.726128e-04 | ‖ω‖₁=3.309329e+00
  λ=7.943e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.986364e-04 | ‖ω‖₁=1.413823e+00
  λ=7.943e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.191927e-04 | ‖ω‖₁=3.833137e-01
