2025-06-23 18:01:25,335 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Starting heat_equation_pi-net_decoder experiment
2025-06-23 18:01:25,335 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Log file: logs/heat_equation_pi-net_decoder_20250623_180125.log
2025-06-23 18:01:25,336 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Experiment: Heat Equation Pi-Net Decoder
2025-06-23 18:01:25,336 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:01:25,336 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - POD dimension: 30
2025-06-23 18:01:25,336 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Hidden units: [30, 465, 128]
2025-06-23 18:01:25,337 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Mode Selection Method: None
2025-06-23 18:01:25,337 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Device: mps
2025-06-23 18:01:25,337 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=32
2025-06-23 18:01:25,337 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:01:25,338 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-23 18:01:25,338 - sparsemodesnet.heat_equation_pi-net_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 3 selected modes ...
  Epoch   1 | lr=1.0000e-03 | Recon MSE=6.907255e-03
  Epoch  10 | lr=1.0000e-03 | Recon MSE=1.017997e-06
  Epoch  20 | lr=1.0000e-03 | Recon MSE=3.717561e-07
  Epoch  30 | lr=1.0000e-03 | Recon MSE=3.563740e-07
  Epoch  40 | lr=1.0000e-03 | Recon MSE=2.811508e-07
  Epoch  50 | lr=1.0000e-03 | Recon MSE=2.448100e-07
  Epoch  60 | lr=1.0000e-03 | Recon MSE=2.355646e-07
  Epoch  70 | lr=1.0000e-03 | Recon MSE=1.574399e-07
  Epoch  80 | lr=1.0000e-03 | Recon MSE=1.339927e-07
  Epoch  90 | lr=1.0000e-03 | Recon MSE=8.393873e-08
  Epoch 100 | lr=1.0000e-03 | Recon MSE=1.595331e-07
  Epoch 110 | lr=1.0000e-03 | Recon MSE=6.982111e-07
  Epoch 120 | lr=1.0000e-03 | Recon MSE=7.729553e-07
  Epoch 130 | lr=1.0000e-03 | Recon MSE=2.746891e-06
  Epoch 140 | lr=1.0000e-03 | Recon MSE=1.132502e-06
  Epoch 150 | lr=1.0000e-03 | Recon MSE=2.883076e-06
  Epoch 160 | lr=1.0000e-03 | Recon MSE=7.810183e-08
  Epoch 170 | lr=1.0000e-03 | Recon MSE=2.754170e-06
  Epoch 180 | lr=1.0000e-03 | Recon MSE=1.122683e-07
  Epoch 190 | lr=1.0000e-03 | Recon MSE=4.556967e-08
  Epoch 200 | lr=5.0000e-04 | Recon MSE=1.020045e-08
  Epoch 210 | lr=5.0000e-04 | Recon MSE=2.938306e-09
  Epoch 220 | lr=5.0000e-04 | Recon MSE=3.694405e-09
