2025-06-24 17:17:02,021 - sparsemodesnet.pulse_ff_decoder - INFO - Starting pulse_ff_decoder experiment
2025-06-24 17:17:02,021 - sparsemodesnet.pulse_ff_decoder - INFO - Log file: logs/pulse_ff_decoder_20250624_171702.log
2025-06-24 17:17:02,022 - sparsemodesnet.pulse_ff_decoder - INFO - Experiment: Pulse FF Decoder
2025-06-24 17:17:02,022 - sparsemodesnet.pulse_ff_decoder - INFO - Data shape: (1024, 1000)
2025-06-24 17:17:02,023 - sparsemodesnet.pulse_ff_decoder - INFO - POD dimension: 200
2025-06-24 17:17:02,023 - sparsemodesnet.pulse_ff_decoder - INFO - Hidden units: [200, 20100]
2025-06-24 17:17:02,023 - sparsemodesnet.pulse_ff_decoder - INFO - Mode Selection Method: None
2025-06-24 17:17:02,023 - sparsemodesnet.pulse_ff_decoder - INFO - Device: mps
2025-06-24 17:17:02,024 - sparsemodesnet.pulse_ff_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=256
2025-06-24 17:17:02,024 - sparsemodesnet.pulse_ff_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-24 17:17:02,024 - sparsemodesnet.pulse_ff_decoder - INFO - NN type: Feedforward
2025-06-24 17:17:02,025 - sparsemodesnet.pulse_ff_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 20 selected modes ...
  Epoch   1 | lr=1.0000e-03 | Recon MSE=5.862335e+02
  Epoch  10 | lr=1.0000e-03 | Recon MSE=7.139833e+00
  Epoch  20 | lr=1.0000e-03 | Recon MSE=8.117625e-01
  Epoch  30 | lr=1.0000e-03 | Recon MSE=5.281453e-01
  Epoch  40 | lr=1.0000e-03 | Recon MSE=4.669260e-01
  Epoch  50 | lr=1.0000e-03 | Recon MSE=4.399716e-01
  Epoch  60 | lr=1.0000e-03 | Recon MSE=4.087604e-01
  Epoch  70 | lr=1.0000e-03 | Recon MSE=3.957649e-01
  Epoch  80 | lr=1.0000e-03 | Recon MSE=3.766324e-01
  Epoch  90 | lr=1.0000e-03 | Recon MSE=3.662286e-01
  Epoch 100 | lr=1.0000e-03 | Recon MSE=3.466107e-01
  Epoch 110 | lr=1.0000e-03 | Recon MSE=3.425748e-01
  Epoch 120 | lr=1.0000e-03 | Recon MSE=3.299378e-01
  Epoch 130 | lr=1.0000e-03 | Recon MSE=3.134401e-01
  Epoch 140 | lr=1.0000e-03 | Recon MSE=3.123137e-01
  Epoch 150 | lr=1.0000e-03 | Recon MSE=2.929294e-01
  Epoch 160 | lr=1.0000e-03 | Recon MSE=2.852763e-01
  Epoch 170 | lr=1.0000e-03 | Recon MSE=2.813483e-01
  Epoch 180 | lr=1.0000e-03 | Recon MSE=2.740588e-01
  Epoch 190 | lr=1.0000e-03 | Recon MSE=2.570412e-01
  Epoch 200 | lr=1.0000e-03 | Recon MSE=2.591014e-01
  Epoch 210 | lr=1.0000e-03 | Recon MSE=2.432090e-01
  Epoch 220 | lr=1.0000e-03 | Recon MSE=2.403246e-01
  Epoch 230 | lr=1.0000e-03 | Recon MSE=2.336422e-01
  Epoch 240 | lr=1.0000e-03 | Recon MSE=2.194597e-01
  Epoch 250 | lr=1.0000e-03 | Recon MSE=2.242583e-01
  Epoch 260 | lr=1.0000e-03 | Recon MSE=2.165982e-01
  Epoch 270 | lr=1.0000e-03 | Recon MSE=2.074574e-01
  Epoch 280 | lr=1.0000e-03 | Recon MSE=2.028169e-01
  Epoch 290 | lr=1.0000e-03 | Recon MSE=2.025596e-01
  Epoch 300 | lr=1.0000e-03 | Recon MSE=2.002563e-01
  Epoch 310 | lr=1.0000e-03 | Recon MSE=1.859522e-01
  Epoch 320 | lr=1.0000e-03 | Recon MSE=1.896859e-01
  Epoch 330 | lr=1.0000e-03 | Recon MSE=1.900822e-01
  Epoch 340 | lr=1.0000e-03 | Recon MSE=1.834926e-01
  Epoch 350 | lr=1.0000e-03 | Recon MSE=2.046588e-01
  Epoch 360 | lr=1.0000e-03 | Recon MSE=1.902843e-01
  Epoch 370 | lr=1.0000e-03 | Recon MSE=2.272400e-01
  Epoch 380 | lr=1.0000e-03 | Recon MSE=1.933351e-01
  Epoch 390 | lr=1.0000e-03 | Recon MSE=1.844664e-01
  Epoch 400 | lr=5.0000e-04 | Recon MSE=2.007089e-01
  Epoch 410 | lr=5.0000e-04 | Recon MSE=1.262980e-01
