2025-06-18 12:12:45,619 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-18 12:12:45,619 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250618_121245.log
2025-06-18 12:12:45,620 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-18 12:12:45,620 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-18 12:12:45,621 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-18 12:12:45,621 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256, 2048]
2025-06-18 12:12:45,621 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-18 12:12:45,621 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-18 12:12:45,622 - sparsemodesnet.heat_equation - INFO - Training parameters: M=4.0, lr=0.001, batch_size=64
2025-06-18 12:12:45,622 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-18 12:12:45,622 - sparsemodesnet.heat_equation - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-18 12:12:45,623 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 128)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.921242e+00 | ‖ω‖₁=1.269323e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.278277e-02 | ‖ω‖₁=1.085413e+02
  λ=1.000e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=4.600376e-03 | ‖ω‖₁=8.807478e+01
  λ=1.000e-03 | Epoch  30 | lr=1.0000e-03 | Recon MSE=3.549499e-03 | ‖ω‖₁=6.761619e+01
  λ=1.000e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=3.981067e-03 | ‖ω‖₁=4.716995e+01
  λ=1.000e-03 | Epoch  50 | lr=5.0000e-04 | Recon MSE=1.732343e-03 | ‖ω‖₁=2.673372e+01
  λ=1.000e-03 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.413244e-03 | ‖ω‖₁=6.370845e+00
  λ=1.000e-03 | Epoch  70 | lr=5.0000e-04 | Recon MSE=1.279656e-04 | ‖ω‖₁=2.722583e+00
  λ=1.000e-03 | Epoch  80 | lr=2.5000e-04 | Recon MSE=1.549242e-04 | ‖ω‖₁=2.531527e+00
  λ=1.000e-03 | Epoch  90 | lr=2.5000e-04 | Recon MSE=1.137614e-04 | ‖ω‖₁=2.447447e+00
  λ=1.000e-03 | Epoch 100 | lr=2.5000e-04 | Recon MSE=1.025492e-04 | ‖ω‖₁=2.379623e+00
  λ=1.000e-03 | Epoch 110 | lr=2.5000e-04 | Recon MSE=1.397415e-04 | ‖ω‖₁=2.321238e+00
  λ=1.000e-03 | Epoch 120 | lr=1.2500e-04 | Recon MSE=1.007730e-04 | ‖ω‖₁=2.269125e+00
  λ=1.000e-03 | Epoch 130 | lr=1.2500e-04 | Recon MSE=7.068176e-05 | ‖ω‖₁=2.221433e+00
  λ=1.000e-03 | Epoch 140 | lr=1.2500e-04 | Recon MSE=9.040899e-05 | ‖ω‖₁=2.177459e+00
  λ=1.000e-03 | Epoch 150 | lr=1.2500e-04 | Recon MSE=6.192726e-05 | ‖ω‖₁=2.136305e+00
  λ=1.000e-03 | Epoch 160 | lr=6.2500e-05 | Recon MSE=3.551916e-05 | ‖ω‖₁=2.097378e+00
  λ=1.000e-03 | Epoch 170 | lr=6.2500e-05 | Recon MSE=4.135371e-05 | ‖ω‖₁=2.060348e+00
  λ=1.000e-03 | Epoch 180 | lr=6.2500e-05 | Recon MSE=6.783901e-05 | ‖ω‖₁=2.024957e+00
  λ=1.000e-03 | Epoch 190 | lr=6.2500e-05 | Recon MSE=6.035979e-05 | ‖ω‖₁=1.991025e+00
  λ=1.000e-03 | Epoch 200 | lr=3.1250e-05 | Recon MSE=3.717072e-05 | ‖ω‖₁=1.958544e+00
  → at λ=1.000e-03:  r(λ)=128,  rel_err=7.554241e-03

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 128)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.477530e+00 | ‖ω‖₁=1.267114e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.138296e-02 | ‖ω‖₁=1.046065e+02
  λ=1.200e-03 | Epoch  20 | lr=1.0000e-03 | Recon MSE=5.865214e-03 | ‖ω‖₁=8.003708e+01
  λ=1.200e-03 | Epoch  30 | lr=1.0000e-03 | Recon MSE=5.526847e-03 | ‖ω‖₁=5.547100e+01
  λ=1.200e-03 | Epoch  40 | lr=5.0000e-04 | Recon MSE=3.629606e-03 | ‖ω‖₁=3.093598e+01
  λ=1.200e-03 | Epoch  50 | lr=5.0000e-04 | Recon MSE=4.448878e-03 | ‖ω‖₁=6.448805e+00
  λ=1.200e-03 | Epoch  60 | lr=5.0000e-04 | Recon MSE=2.711503e-04 | ‖ω‖₁=2.616585e+00
  λ=1.200e-03 | Epoch  70 | lr=5.0000e-04 | Recon MSE=7.503164e-05 | ‖ω‖₁=2.493122e+00
  λ=1.200e-03 | Epoch  80 | lr=2.5000e-04 | Recon MSE=1.372031e-04 | ‖ω‖₁=2.403556e+00
