2025-06-23 18:36:58,451 - sparsemodesnet.heat_equation_ff_decoder - INFO - Starting heat_equation_ff_decoder experiment
2025-06-23 18:36:58,451 - sparsemodesnet.heat_equation_ff_decoder - INFO - Log file: logs/heat_equation_ff_decoder_20250623_183658.log
2025-06-23 18:36:58,452 - sparsemodesnet.heat_equation_ff_decoder - INFO - Experiment: Heat Equation FF Decoder
2025-06-23 18:36:58,452 - sparsemodesnet.heat_equation_ff_decoder - INFO - Data shape: (128, 1000)
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - POD dimension: 30
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Hidden units: [30, 465]
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Mode Selection Method: None
2025-06-23 18:36:58,453 - sparsemodesnet.heat_equation_ff_decoder - INFO - Device: mps
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - Training parameters: M=1.0, lr=0.001, batch_size=16
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-23 18:36:58,454 - sparsemodesnet.heat_equation_ff_decoder - INFO - NN type: Feedforward
2025-06-23 18:36:58,455 - sparsemodesnet.heat_equation_ff_decoder - INFO - ==================================================
Skipping mode selection.

→ Training decoder model with 3 selected modes ...
  Epoch 690 | lr=5.0000e-04 | Recon MSE=4.370693e-09
  Epoch 700 | lr=5.0000e-04 | Recon MSE=4.152820e-09
  Epoch 710 | lr=5.0000e-04 | Recon MSE=6.852170e-09
  Epoch 720 | lr=5.0000e-04 | Recon MSE=7.466698e-09
  Epoch 730 | lr=5.0000e-04 | Recon MSE=2.469295e-08
  Epoch 740 | lr=5.0000e-04 | Recon MSE=1.128921e-08
  Epoch 750 | lr=5.0000e-04 | Recon MSE=3.197963e-09
  Epoch 760 | lr=5.0000e-04 | Recon MSE=1.009687e-08
  Epoch 770 | lr=5.0000e-04 | Recon MSE=7.606297e-09
  Epoch 780 | lr=5.0000e-04 | Recon MSE=1.043310e-08
  Epoch 790 | lr=5.0000e-04 | Recon MSE=1.733893e-08
  Epoch 800 | lr=2.5000e-04 | Recon MSE=8.987277e-08
  Epoch 810 | lr=2.5000e-04 | Recon MSE=6.086945e-08
  Epoch 820 | lr=2.5000e-04 | Recon MSE=5.205708e-08
  Epoch 830 | lr=2.5000e-04 | Recon MSE=3.514498e-08
  Epoch 840 | lr=2.5000e-04 | Recon MSE=4.316060e-08
  Epoch 850 | lr=2.5000e-04 | Recon MSE=2.629062e-08
  Epoch 860 | lr=2.5000e-04 | Recon MSE=2.041743e-08
  Epoch 870 | lr=2.5000e-04 | Recon MSE=1.868593e-08
  Epoch 880 | lr=2.5000e-04 | Recon MSE=9.391808e-09
  Epoch 890 | lr=2.5000e-04 | Recon MSE=6.549725e-09
  Epoch 900 | lr=2.5000e-04 | Recon MSE=6.365495e-09
  Epoch 910 | lr=2.5000e-04 | Recon MSE=2.395519e-09
  Epoch 920 | lr=2.5000e-04 | Recon MSE=2.255787e-09
  Epoch 930 | lr=2.5000e-04 | Recon MSE=1.301873e-09
  Epoch 940 | lr=2.5000e-04 | Recon MSE=2.556138e-09
  Epoch 950 | lr=2.5000e-04 | Recon MSE=1.658043e-09
