2025-06-18 12:05:22,002 - sparsemodesnet.heat_equation - INFO - Starting heat_equation experiment
2025-06-18 12:05:22,002 - sparsemodesnet.heat_equation - INFO - Log file: logs/heat_equation_20250618_120522.log
2025-06-18 12:05:22,002 - sparsemodesnet.heat_equation - INFO - Experiment: Heat Equation
2025-06-18 12:05:22,003 - sparsemodesnet.heat_equation - INFO - Data shape: (128, 1000)
2025-06-18 12:05:22,003 - sparsemodesnet.heat_equation - INFO - POD dimension: 128
2025-06-18 12:05:22,003 - sparsemodesnet.heat_equation - INFO - Hidden units: [128, 8256, 2048]
2025-06-18 12:05:22,004 - sparsemodesnet.heat_equation - INFO - Regularization method: dense2sparse
2025-06-18 12:05:22,004 - sparsemodesnet.heat_equation - INFO - Device: mps
2025-06-18 12:05:22,004 - sparsemodesnet.heat_equation - INFO - Training parameters: M=4.0, lr=0.001, batch_size=64
2025-06-18 12:05:22,005 - sparsemodesnet.heat_equation - INFO - Optimizer: Adam, knee_method: zmethod
2025-06-18 12:05:22,005 - sparsemodesnet.heat_equation - INFO - NN type: PiNetCCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-18 12:05:22,005 - sparsemodesnet.heat_equation - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 128)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.299781e+01 | ‖ω‖₁=1.269192e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.946440e-02 | ‖ω‖₁=1.085141e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.715622e-03 | ‖ω‖₁=8.803741e+01
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.296146e-03 | ‖ω‖₁=6.755570e+01
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.537884e-03 | ‖ω‖₁=4.707490e+01
  λ=1.000e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=1.122305e-03 | ‖ω‖₁=2.659481e+01
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.817517e-03 | ‖ω‖₁=6.121790e+00
  λ=1.000e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=1.424842e-03 | ‖ω‖₁=2.635872e+00
  λ=1.000e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=1.059302e-03 | ‖ω‖₁=2.524610e+00
  → at λ=1.000e-03:  r(λ)=128,  rel_err=1.177997e-01

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 128)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.210066e+01 | ‖ω‖₁=1.267454e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.592754e-02 | ‖ω‖₁=1.046454e+02
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.159330e-03 | ‖ω‖₁=8.006925e+01
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.242402e-03 | ‖ω‖₁=5.549404e+01
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.496932e-03 | ‖ω‖₁=3.091867e+01
  λ=1.200e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=2.202121e-03 | ‖ω‖₁=6.344143e+00
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.877833e-03 | ‖ω‖₁=2.598294e+00
  λ=1.200e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=7.405302e-04 | ‖ω‖₁=2.478811e+00
  λ=1.200e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=7.030611e-04 | ‖ω‖₁=2.389853e+00
