2025-06-17 18:13:58,795 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 18:13:58,796 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_181358.log
2025-06-17 18:13:58,796 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 18:13:58,796 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 18:13:58,797 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 18:13:58,797 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [1000, 2000, 1000]
2025-06-17 18:13:58,797 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 18:13:58,798 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 18:13:58,798 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=64
2025-06-17 18:13:58,798 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 18:13:58,799 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 18:13:58,799 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-02   (r(λ) prev = 200)
  λ=1.000e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.601293e-01 | ‖ω‖₁=1.839745e+02
  λ=1.000e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.167660e+00 | ‖ω‖₁=7.177986e+00
  λ=1.000e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.357738e-01 | ‖ω‖₁=6.418127e+00
  λ=1.000e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.920966e-02 | ‖ω‖₁=5.834328e+00
  λ=1.000e-02 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.233150e-02 | ‖ω‖₁=5.442581e+00
  λ=1.000e-02 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.487469e-02 | ‖ω‖₁=5.128095e+00
  λ=1.000e-02 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.043805e-02 | ‖ω‖₁=4.857480e+00
  λ=1.000e-02 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.804700e-02 | ‖ω‖₁=4.616656e+00
  λ=1.000e-02 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.670685e-02 | ‖ω‖₁=4.397149e+00
  λ=1.000e-02 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.578024e-02 | ‖ω‖₁=4.194759e+00
  λ=1.000e-02 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.523786e-02 | ‖ω‖₁=4.005842e+00
  → at λ=1.000e-02:  r(λ)=200,  rel_err=2.308741e-02

-- Path iteration 2, λ = 1.200e-02   (r(λ) prev = 200)
  λ=1.200e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.788662e-01 | ‖ω‖₁=1.806642e+02
  λ=1.200e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.019319e+00 | ‖ω‖₁=6.785008e+00
  λ=1.200e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.590859e-01 | ‖ω‖₁=6.028788e+00
  λ=1.200e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.194491e-01 | ‖ω‖₁=5.473310e+00
  λ=1.200e-02 | Epoch  40 | lr=2.5000e-04 | Recon MSE=8.112406e-02 | ‖ω‖₁=5.089868e+00
  λ=1.200e-02 | Epoch  50 | lr=2.5000e-04 | Recon MSE=5.930858e-02 | ‖ω‖₁=4.772240e+00
  λ=1.200e-02 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.917906e-02 | ‖ω‖₁=4.494036e+00
  λ=1.200e-02 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.163243e-02 | ‖ω‖₁=4.243267e+00
  λ=1.200e-02 | Epoch  80 | lr=6.2500e-05 | Recon MSE=3.749402e-02 | ‖ω‖₁=4.014494e+00
  λ=1.200e-02 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.488117e-02 | ‖ω‖₁=3.801170e+00
  λ=1.200e-02 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.288606e-02 | ‖ω‖₁=3.601801e+00
  → at λ=1.200e-02:  r(λ)=200,  rel_err=3.384523e-02

-- Path iteration 3, λ = 1.440e-02   (r(λ) prev = 200)
  λ=1.440e-02 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.668120e-01 | ‖ω‖₁=1.766799e+02
  λ=1.440e-02 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.153488e+00 | ‖ω‖₁=6.493173e+00
  λ=1.440e-02 | Epoch  20 | lr=5.0000e-04 | Recon MSE=6.112378e-01 | ‖ω‖₁=5.899410e+00
  λ=1.440e-02 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.709445e-01 | ‖ω‖₁=5.286830e+00
