2025-06-17 16:21:24,496 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 16:21:24,496 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_162124.log
2025-06-17 16:21:24,497 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 16:21:24,497 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 16:21:24,497 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 16:21:24,498 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [200, 5000, 200]
2025-06-17 16:21:24,498 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 16:21:24,498 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 16:21:24,499 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=128
2025-06-17 16:21:24,499 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 16:21:24,499 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 2, and 2 number of polynomial blocks
2025-06-17 16:21:24,500 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 200)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=7.743834e-05 | ‖ω‖₁=1.993709e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.009269e-05 | ‖ω‖₁=1.919290e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.516182e-04 | ‖ω‖₁=1.837597e+02
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.395203e-03 | ‖ω‖₁=1.742595e+02
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.414877e-03 | ‖ω‖₁=1.646747e+02
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=6.459883e-03 | ‖ω‖₁=1.524148e+02
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=9.160560e-03 | ‖ω‖₁=1.396687e+02
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.310829e-02 | ‖ω‖₁=1.251592e+02
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.683380e-02 | ‖ω‖₁=1.105061e+02
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.993325e-02 | ‖ω‖₁=9.516718e+01
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.808912e-02 | ‖ω‖₁=7.976366e+01
  → at λ=1.000e-03:  r(λ)=200,  rel_err=3.689288e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 200)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.648317e-04 | ‖ω‖₁=1.992023e+02
