2025-06-17 17:46:36,391 - sparsemodesnet.advecting_pulse - INFO - Starting advecting_pulse experiment
2025-06-17 17:46:36,391 - sparsemodesnet.advecting_pulse - INFO - Log file: /Users/tkoike3/Dev/Research/sparsemodesnet/experiments/logs/advecting_pulse_20250617_174636.log
2025-06-17 17:46:36,392 - sparsemodesnet.advecting_pulse - INFO - Experiment: Advecting Pulse
2025-06-17 17:46:36,392 - sparsemodesnet.advecting_pulse - INFO - Data shape: (1024, 1000)
2025-06-17 17:46:36,393 - sparsemodesnet.advecting_pulse - INFO - POD dimension: 200
2025-06-17 17:46:36,393 - sparsemodesnet.advecting_pulse - INFO - Hidden units: [200, 5000, 200]
2025-06-17 17:46:36,393 - sparsemodesnet.advecting_pulse - INFO - Regularization method: dense2sparse
2025-06-17 17:46:36,394 - sparsemodesnet.advecting_pulse - INFO - Device: mps
2025-06-17 17:46:36,394 - sparsemodesnet.advecting_pulse - INFO - Training parameters: M=2.0, lr=0.001, batch_size=256
2025-06-17 17:46:36,395 - sparsemodesnet.advecting_pulse - INFO - Optimizer: Adam, knee_method: dfdt
2025-06-17 17:46:36,396 - sparsemodesnet.advecting_pulse - INFO - NN type: PiNetNCP with polynomial order of 2, and 1 number of polynomial blocks
2025-06-17 17:46:36,396 - sparsemodesnet.advecting_pulse - INFO - ==================================================

=== SparseModesNet (λ-path=dense2sparse) on Advecting Pulse: d=1024, n=1000, s=200 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-03   (r(λ) prev = 200)
  λ=1.000e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.965707e-05 | ‖ω‖₁=1.995907e+02
  λ=1.000e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.545173e-05 | ‖ω‖₁=1.955157e+02
  λ=1.000e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.833261e-04 | ‖ω‖₁=1.909548e+02
  λ=1.000e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.525778e-04 | ‖ω‖₁=1.853829e+02
  λ=1.000e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.466416e-04 | ‖ω‖₁=1.798815e+02
  λ=1.000e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=8.142012e-04 | ‖ω‖₁=1.732423e+02
  λ=1.000e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.332173e-03 | ‖ω‖₁=1.665757e+02
  λ=1.000e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.011401e-03 | ‖ω‖₁=1.592396e+02
  λ=1.000e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.592137e-03 | ‖ω‖₁=1.518545e+02
  λ=1.000e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.315018e-03 | ‖ω‖₁=1.441616e+02
  λ=1.000e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.897271e-03 | ‖ω‖₁=1.364461e+02
  → at λ=1.000e-03:  r(λ)=200,  rel_err=1.179299e-02

-- Path iteration 2, λ = 1.200e-03   (r(λ) prev = 200)
  λ=1.200e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.787622e-05 | ‖ω‖₁=1.995106e+02
  λ=1.200e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.648721e-04 | ‖ω‖₁=1.942079e+02
  λ=1.200e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=5.612677e-04 | ‖ω‖₁=1.882011e+02
  λ=1.200e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.000232e-04 | ‖ω‖₁=1.807472e+02
  λ=1.200e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=1.104129e-03 | ‖ω‖₁=1.733989e+02
  λ=1.200e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.286637e-03 | ‖ω‖₁=1.649827e+02
  λ=1.200e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.634464e-03 | ‖ω‖₁=1.565093e+02
  λ=1.200e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=1.983962e-03 | ‖ω‖₁=1.474700e+02
  λ=1.200e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.922611e-03 | ‖ω‖₁=1.383988e+02
  λ=1.200e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.253999e-03 | ‖ω‖₁=1.290730e+02
  λ=1.200e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=3.909373e-03 | ‖ω‖₁=1.197312e+02
  → at λ=1.200e-03:  r(λ)=200,  rel_err=1.177902e-02

-- Path iteration 3, λ = 1.440e-03   (r(λ) prev = 200)
  λ=1.440e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.277549e-04 | ‖ω‖₁=1.993822e+02
  λ=1.440e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=6.174225e-04 | ‖ω‖₁=1.923442e+02
  λ=1.440e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.038034e-03 | ‖ω‖₁=1.843638e+02
  λ=1.440e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.030592e-03 | ‖ω‖₁=1.747801e+02
  λ=1.440e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.208116e-03 | ‖ω‖₁=1.652578e+02
  λ=1.440e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.898342e-03 | ‖ω‖₁=1.548123e+02
  λ=1.440e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.069948e-03 | ‖ω‖₁=1.442897e+02
  λ=1.440e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.674218e-03 | ‖ω‖₁=1.332793e+02
  λ=1.440e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=3.746124e-03 | ‖ω‖₁=1.222403e+02
  λ=1.440e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=3.983813e-03 | ‖ω‖₁=1.109726e+02
  λ=1.440e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=4.638968e-03 | ‖ω‖₁=9.969353e+01
  → at λ=1.440e-03:  r(λ)=200,  rel_err=1.283401e-02

-- Path iteration 4, λ = 1.728e-03   (r(λ) prev = 200)
  λ=1.728e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.625807e-04 | ‖ω‖₁=1.992429e+02
  λ=1.728e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.597333e-03 | ‖ω‖₁=1.901598e+02
  λ=1.728e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.021755e-03 | ‖ω‖₁=1.799120e+02
  λ=1.728e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.546588e-03 | ‖ω‖₁=1.679226e+02
  λ=1.728e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=3.374634e-03 | ‖ω‖₁=1.559519e+02
  λ=1.728e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=2.294668e-03 | ‖ω‖₁=1.430889e+02
  λ=1.728e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.397143e-03 | ‖ω‖₁=1.301794e+02
  λ=1.728e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.390643e-03 | ‖ω‖₁=1.168315e+02
  λ=1.728e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=4.141825e-03 | ‖ω‖₁=1.034636e+02
  λ=1.728e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=4.690523e-03 | ‖ω‖₁=8.988410e+01
  λ=1.728e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=5.506820e-03 | ‖ω‖₁=7.629939e+01
  → at λ=1.728e-03:  r(λ)=200,  rel_err=1.395118e-02

-- Path iteration 5, λ = 2.074e-03   (r(λ) prev = 200)
  λ=2.074e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.467994e-04 | ‖ω‖₁=1.990743e+02
  λ=2.074e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.632982e-03 | ‖ω‖₁=1.874705e+02
  λ=2.074e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.807894e-03 | ‖ω‖₁=1.744694e+02
  λ=2.074e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.316901e-03 | ‖ω‖₁=1.596724e+02
  λ=2.074e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.725418e-03 | ‖ω‖₁=1.448570e+02
  λ=2.074e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.486259e-03 | ‖ω‖₁=1.291749e+02
  λ=2.074e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.174863e-03 | ‖ω‖₁=1.134546e+02
  λ=2.074e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=4.785711e-03 | ‖ω‖₁=9.732732e+01
  λ=2.074e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=5.758969e-03 | ‖ω‖₁=8.118421e+01
  λ=2.074e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=6.327174e-03 | ‖ω‖₁=6.484825e+01
  λ=2.074e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=7.312541e-03 | ‖ω‖₁=4.852380e+01
  → at λ=2.074e-03:  r(λ)=200,  rel_err=1.612361e-02

-- Path iteration 6, λ = 2.488e-03   (r(λ) prev = 200)
  λ=2.488e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=3.906176e-04 | ‖ω‖₁=1.988729e+02
  λ=2.488e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.423804e-03 | ‖ω‖₁=1.842907e+02
  λ=2.488e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=5.553255e-03 | ‖ω‖₁=1.678859e+02
  λ=2.488e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=4.177567e-03 | ‖ω‖₁=1.497131e+02
  λ=2.488e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=8.620721e-03 | ‖ω‖₁=1.314782e+02
  λ=2.488e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=4.941960e-03 | ‖ω‖₁=1.124280e+02
  λ=2.488e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.501138e-03 | ‖ω‖₁=9.335233e+01
  λ=2.488e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=6.233215e-03 | ‖ω‖₁=7.390067e+01
  λ=2.488e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=7.817481e-03 | ‖ω‖₁=5.445500e+01
  λ=2.488e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=8.685113e-03 | ‖ω‖₁=3.487029e+01
  λ=2.488e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.362688e-02 | ‖ω‖₁=1.772786e+01
  → at λ=2.488e-03:  r(λ)=200,  rel_err=2.300834e-02

-- Path iteration 7, λ = 2.986e-03   (r(λ) prev = 200)
  λ=2.986e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=5.846789e-04 | ‖ω‖₁=1.986390e+02
  λ=2.986e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=8.731410e-03 | ‖ω‖₁=1.804582e+02
  λ=2.986e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.221314e-02 | ‖ω‖₁=1.600594e+02
  λ=2.986e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=7.289615e-03 | ‖ω‖₁=1.379065e+02
  λ=2.986e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=9.635515e-03 | ‖ω‖₁=1.156707e+02
  λ=2.986e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=7.698231e-03 | ‖ω‖₁=9.264219e+01
  λ=2.986e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=9.608137e-03 | ‖ω‖₁=6.956918e+01
  λ=2.986e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=9.324497e-03 | ‖ω‖₁=4.615145e+01
  λ=2.986e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.273713e-02 | ‖ω‖₁=2.285250e+01
  λ=2.986e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=8.694949e-02 | ‖ω‖₁=1.130960e+01
  λ=2.986e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=2.894456e-02 | ‖ω‖₁=6.975077e+00
  → at λ=2.986e-03:  r(λ)=200,  rel_err=3.133700e-02

-- Path iteration 8, λ = 3.583e-03   (r(λ) prev = 200)
  λ=3.583e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=8.135171e-04 | ‖ω‖₁=1.983491e+02
  λ=3.583e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.685874e-02 | ‖ω‖₁=1.758702e+02
  λ=3.583e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.338692e-02 | ‖ω‖₁=1.506643e+02
  λ=3.583e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=9.520762e-03 | ‖ω‖₁=1.236703e+02
  λ=3.583e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.279894e-02 | ‖ω‖₁=9.658465e+01
  λ=3.583e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.126121e-02 | ‖ω‖₁=6.875025e+01
  λ=3.583e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=1.237728e-02 | ‖ω‖₁=4.091944e+01
  λ=3.583e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.427628e-02 | ‖ω‖₁=1.595881e+01
  λ=3.583e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.581979e-02 | ‖ω‖₁=7.877384e+00
  λ=3.583e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.964965e-02 | ‖ω‖₁=6.676520e+00
  λ=3.583e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.761870e-02 | ‖ω‖₁=6.381668e+00
  → at λ=3.583e-03:  r(λ)=200,  rel_err=2.489819e-02

-- Path iteration 9, λ = 4.300e-03   (r(λ) prev = 200)
  λ=4.300e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.270723e-03 | ‖ω‖₁=1.979840e+02
  λ=4.300e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.207105e-02 | ‖ω‖₁=1.703552e+02
  λ=4.300e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=2.222710e-02 | ‖ω‖₁=1.394255e+02
  λ=4.300e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=1.697665e-02 | ‖ω‖₁=1.066870e+02
  λ=4.300e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=2.850829e-02 | ‖ω‖₁=7.379597e+01
  λ=4.300e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.704085e-02 | ‖ω‖₁=4.021195e+01
  λ=4.300e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.979291e-02 | ‖ω‖₁=1.301317e+01
  λ=4.300e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.174379e-02 | ‖ω‖₁=6.938812e+00
  λ=4.300e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.651785e-02 | ‖ω‖₁=6.487433e+00
  λ=4.300e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.524786e-02 | ‖ω‖₁=6.196667e+00
  λ=4.300e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.423510e-02 | ‖ω‖₁=5.966716e+00
  → at λ=4.300e-03:  r(λ)=200,  rel_err=2.239363e-02

-- Path iteration 10, λ = 5.160e-03   (r(λ) prev = 200)
  λ=5.160e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=1.895121e-03 | ‖ω‖₁=1.975518e+02
  λ=5.160e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=3.739935e-02 | ‖ω‖₁=1.637506e+02
  λ=5.160e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=3.463907e-02 | ‖ω‖₁=1.259240e+02
  λ=5.160e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=2.079122e-02 | ‖ω‖₁=8.624135e+01
  λ=5.160e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=4.819764e-02 | ‖ω‖₁=4.645307e+01
  λ=5.160e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=1.365680e-01 | ‖ω‖₁=1.224374e+01
  λ=5.160e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.984599e-02 | ‖ω‖₁=6.809977e+00
  λ=5.160e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.183575e-02 | ‖ω‖₁=6.371814e+00
  λ=5.160e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=1.955752e-02 | ‖ω‖₁=6.067037e+00
  λ=5.160e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=1.867861e-02 | ‖ω‖₁=5.816952e+00
  λ=5.160e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=1.783660e-02 | ‖ω‖₁=5.602326e+00
  → at λ=5.160e-03:  r(λ)=200,  rel_err=2.509488e-02

-- Path iteration 11, λ = 6.192e-03   (r(λ) prev = 200)
  λ=6.192e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=2.849250e-03 | ‖ω‖₁=1.970482e+02
  λ=6.192e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=5.717777e-02 | ‖ω‖₁=1.557832e+02
  λ=6.192e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=5.233535e-02 | ‖ω‖₁=1.096212e+02
  λ=6.192e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=3.534672e-02 | ‖ω‖₁=6.166555e+01
  λ=6.192e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.232378e-02 | ‖ω‖₁=1.537397e+01
  λ=6.192e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=8.424139e-02 | ‖ω‖₁=6.758366e+00
  λ=6.192e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.101099e-02 | ‖ω‖₁=6.273971e+00
  λ=6.192e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.818700e-02 | ‖ω‖₁=5.940616e+00
  λ=6.192e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.624101e-02 | ‖ω‖₁=5.672987e+00
  λ=6.192e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.568638e-02 | ‖ω‖₁=5.440957e+00
  λ=6.192e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=2.493381e-02 | ‖ω‖₁=5.235177e+00
  → at λ=6.192e-03:  r(λ)=200,  rel_err=2.968460e-02

-- Path iteration 12, λ = 7.430e-03   (r(λ) prev = 200)
  λ=7.430e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=4.283983e-03 | ‖ω‖₁=1.964450e+02
  λ=7.430e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=9.476482e-02 | ‖ω‖₁=1.462564e+02
  λ=7.430e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.043911e-01 | ‖ω‖₁=9.011330e+01
  λ=7.430e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.482036e-02 | ‖ω‖₁=3.216865e+01
  λ=7.430e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=9.457630e-02 | ‖ω‖₁=6.916083e+00
  λ=7.430e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=3.575302e-02 | ‖ω‖₁=6.282639e+00
  λ=7.430e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=2.836885e-02 | ‖ω‖₁=5.897055e+00
  λ=7.430e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=2.566347e-02 | ‖ω‖₁=5.589103e+00
  λ=7.430e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=2.341219e-02 | ‖ω‖₁=5.328704e+00
  λ=7.430e-03 | Epoch  90 | lr=6.2500e-05 | Recon MSE=2.253861e-02 | ‖ω‖₁=5.096222e+00
  λ=7.430e-03 | Epoch 100 | lr=3.1250e-05 | Recon MSE=2.155910e-02 | ‖ω‖₁=4.887017e+00
  → at λ=7.430e-03:  r(λ)=200,  rel_err=2.759552e-02

-- Path iteration 13, λ = 8.916e-03   (r(λ) prev = 200)
  λ=8.916e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.233872e-03 | ‖ω‖₁=1.957093e+02
  λ=8.916e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=1.376087e-01 | ‖ω‖₁=1.348537e+02
  λ=8.916e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.630513e-01 | ‖ω‖₁=6.668684e+01
  λ=8.916e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=5.361800e-01 | ‖ω‖₁=8.423630e+00
  λ=8.916e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=7.897869e-02 | ‖ω‖₁=6.385885e+00
  λ=8.916e-03 | Epoch  50 | lr=2.5000e-04 | Recon MSE=4.666329e-02 | ‖ω‖₁=5.895759e+00
  λ=8.916e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=3.960463e-02 | ‖ω‖₁=5.532123e+00
  λ=8.916e-03 | Epoch  70 | lr=1.2500e-04 | Recon MSE=3.681732e-02 | ‖ω‖₁=5.228664e+00
  λ=8.916e-03 | Epoch  80 | lr=6.2500e-05 | Recon MSE=3.410090e-02 | ‖ω‖₁=4.964947e+00
